time	Freq	W	B2	B1
2022-04-04, 10:31:30	1500 Hz	15 W	1,9E-5 mbar	1,5E-4 mbar
2022-04-04, 10:31:32	1500 Hz	15 W	1,9E-5 mbar	1,5E-4 mbar
2022-04-04, 10:31:34	1500 Hz	15 W	3,8E-5 mbar	2,5E-4 mbar
2022-04-04, 10:31:36	1500 Hz	16 W	6E-5 mbar	4E-4 mbar
2022-04-04, 10:31:38	1500 Hz	16 W	7,3E-5 mbar	4,5E-4 mbar
2022-04-04, 10:31:40	1500 Hz	16 W	8,4E-5 mbar	5,5E-4 mbar
2022-04-04, 10:31:42	1500 Hz	15 W	9,8E-5 mbar	6,5E-4 mbar
2022-04-04, 10:31:44	1500 Hz	15 W	1,2E-4 mbar	7,5E-4 mbar
2022-04-04, 10:31:46	1500 Hz	15 W	1,3E-4 mbar	8,5E-4 mbar
2022-04-04, 10:31:48	1500 Hz	16 W	1,5E-4 mbar	9,5E-4 mbar
2022-04-04, 10:31:50	1500 Hz	16 W	1,6E-4 mbar	1,1E-3 mbar
2022-04-04, 10:31:52	1500 Hz	15 W	1,7E-4 mbar	1,1E-3 mbar
2022-04-04, 10:31:54	1500 Hz	15 W	1,8E-4 mbar	1,2E-3 mbar
2022-04-04, 10:31:56	1500 Hz	16 W	1,1E-3 mbar	1,3E-3 mbar
2022-04-04, 10:31:58	1500 Hz	15 W	1,3E-3 mbar	1,5E-3 mbar
2022-04-04, 10:32:00	1500 Hz	16 W	1,4E-3 mbar	1,5E-3 mbar
2022-04-04, 10:32:02	1500 Hz	16 W	1,5E-3 mbar	1,7E-3 mbar
2022-04-04, 10:32:04	1500 Hz	16 W	1,7E-3 mbar	1,7E-3 mbar
2022-04-04, 10:32:06	1500 Hz	16 W	1,8E-3 mbar	1,9E-3 mbar
2022-04-04, 10:32:08	1500 Hz	15 W	1,8E-3 mbar	2E-3 mbar
2022-04-04, 10:32:10	1500 Hz	15 W	2,1E-3 mbar	2,1E-3 mbar
2022-04-04, 10:32:12	1500 Hz	15 W	2,1E-3 mbar	2,1E-3 mbar
2022-04-04, 10:32:14	1500 Hz	16 W	2,1E-3 mbar	2,2E-3 mbar
2022-04-04, 10:32:16	1500 Hz	16 W	2,2E-3 mbar	2,3E-3 mbar
2022-04-04, 10:32:18	1500 Hz	15 W	2,2E-3 mbar	2,3E-3 mbar
2022-04-04, 10:32:20	1500 Hz	15 W	2,4E-3 mbar	2,4E-3 mbar
2022-04-04, 10:32:22	1500 Hz	15 W	2,5E-3 mbar	2,4E-3 mbar
2022-04-04, 10:32:24	1500 Hz	15 W	2,5E-3 mbar	2,5E-3 mbar
2022-04-04, 10:32:26	1500 Hz	16 W	2,6E-3 mbar	2,6E-3 mbar
2022-04-04, 10:32:28	1500 Hz	16 W	2,7E-3 mbar	2,6E-3 mbar
2022-04-04, 10:32:30	1500 Hz	16 W	2,7E-3 mbar	2,7E-3 mbar
2022-04-04, 10:32:32	1500 Hz	15 W	2,8E-3 mbar	2,7E-3 mbar
2022-04-04, 10:32:34	1500 Hz	15 W	2,8E-3 mbar	2,8E-3 mbar
2022-04-04, 10:32:36	1500 Hz	15 W	2,9E-3 mbar	2,8E-3 mbar
2022-04-04, 10:32:38	1500 Hz	15 W	3E-3 mbar	2,9E-3 mbar
2022-04-04, 10:32:40	1500 Hz	16 W	3E-3 mbar	3E-3 mbar
2022-04-04, 10:32:42	1500 Hz	16 W	3,1E-3 mbar	3E-3 mbar
