	0	0.0031	0.003
	2	0.001	0.0005
	4	0.001	0.0003
	6	3.2E-05	0.00025
	8	2.8E-05	0.00025
	10	2.5E-05	0.00025
	12	2.4E-05	0.0002
	14	2.1E-05	0.0002
	16	2E-05	0.0002
	18	1.9E-05	0.0002
	20	1.8E-05	0.00015
	22	1.7E-05	0.00015
	24	1.7E-05	0.00015
	26	1.6E-05	0.00015
	28	1.6E-05	0.00015
	30	1.5E-05	0.00015
	32	1.5E-05	0.00015
	34	1.5E-05	0.00015
	36	1.4E-05	0.00015
	38	1.4E-05	0.00015
	40	1.4E-05	0.00015
	42	1.3E-05	0.00015
	44	1.3E-05	0.00015
	46	1.3E-05	0.00015
	48	1.3E-05	0.00015
	50	1.3E-05	0.00015
	52	1.2E-05	0.00015
	54	1.2E-05	0.00015
	56	1.2E-05	0.00015
	58	1.2E-05	0.00015
	60	1.2E-05	0.00015
	62	1.1E-05	0.00015
