time	Freq	W	B2	B1
2022-04-04, 10:26:04	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2022-04-04, 10:26:06	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2022-04-04, 10:26:08	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2022-04-04, 10:26:10	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-04-04, 10:26:12	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-04-04, 10:26:14	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-04-04, 10:26:16	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-04-04, 10:26:18	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-04-04, 10:26:20	0 Hz	0 W	4E0 mbar	3,7E0 mbar
2022-04-04, 10:26:22	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-04, 10:26:24	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-04, 10:26:26	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-04, 10:26:28	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-04, 10:26:30	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-04, 10:26:32	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-04, 10:26:34	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-04, 10:26:36	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-04, 10:26:38	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-04, 10:26:40	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-04-04, 10:26:42	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-04-04, 10:26:44	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-04-04, 10:26:46	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-04-04, 10:26:48	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-04-04, 10:26:50	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-04-04, 10:26:52	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-04-04, 10:26:54	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-04-04, 10:26:56	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-04-04, 10:26:58	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-04-04, 10:27:00	0 Hz	0 W	3,9E0 mbar	3,6E0 mbar
2022-04-04, 10:27:02	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-04, 10:27:04	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-04, 10:27:06	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-04, 10:27:08	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-04, 10:27:10	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-04, 10:27:12	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-04, 10:27:14	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-04, 10:27:16	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-04, 10:27:18	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-04, 10:27:20	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-04, 10:27:22	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2022-04-04, 10:27:24	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
