date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)


--------------------------------------------------------------------
Отсос II.2
--------------------------------------------------------------------
2022-04-04, 09:44:26	0 Hz	0 W	5E0 mbar	4,4E0 mbar
2022-04-04, 09:44:28	0 Hz	0 W	5E0 mbar	4,4E0 mbar
2022-04-04, 09:44:30	0 Hz	0 W	4,9E0 mbar	4,4E0 mbar
2022-04-04, 09:44:32	0 Hz	0 W	4,9E0 mbar	4,3E0 mbar
2022-04-04, 09:44:34	0 Hz	0 W	4,9E0 mbar	4,3E0 mbar
2022-04-04, 09:44:36	0 Hz	0 W	4,9E0 mbar	4,3E0 mbar
2022-04-04, 09:44:38	0 Hz	0 W	4,9E0 mbar	4,3E0 mbar
2022-04-04, 09:44:40	0 Hz	0 W	4,9E0 mbar	4,3E0 mbar
2022-04-04, 09:44:42	0 Hz	0 W	4,8E0 mbar	4,3E0 mbar
2022-04-04, 09:44:44	0 Hz	0 W	4,8E0 mbar	4,3E0 mbar
2022-04-04, 09:44:46	0 Hz	0 W	4,8E0 mbar	4,2E0 mbar
2022-04-04, 09:44:48	0 Hz	0 W	4,8E0 mbar	4,2E0 mbar
2022-04-04, 09:44:50	0 Hz	0 W	4,8E0 mbar	4,2E0 mbar
2022-04-04, 09:44:52	0 Hz	0 W	4,8E0 mbar	4,2E0 mbar
2022-04-04, 09:44:54	0 Hz	0 W	4,8E0 mbar	4,2E0 mbar
2022-04-04, 09:44:56	0 Hz	0 W	4,8E0 mbar	4,2E0 mbar
2022-04-04, 09:44:58	0 Hz	0 W	4,8E0 mbar	4,2E0 mbar
2022-04-04, 09:45:00	0 Hz	0 W	4,7E0 mbar	4,2E0 mbar
2022-04-04, 09:45:02	0 Hz	0 W	4,7E0 mbar	4,2E0 mbar
2022-04-04, 09:45:04	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:45:06	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:45:08	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:45:10	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:45:12	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:45:14	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:45:16	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:45:18	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:45:20	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:45:22	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:45:24	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:45:26	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:45:28	0 Hz	0 W	4,6E0 mbar	4,1E0 mbar
2022-04-04, 09:45:30	0 Hz	0 W	4,6E0 mbar	4,1E0 mbar
2022-04-04, 09:45:32	0 Hz	0 W	4,6E0 mbar	4,1E0 mbar
2022-04-04, 09:45:34	0 Hz	0 W	4,6E0 mbar	4,1E0 mbar
2022-04-04, 09:45:36	0 Hz	0 W	4,6E0 mbar	4,1E0 mbar
2022-04-04, 09:45:38	0 Hz	0 W	4,6E0 mbar	4,1E0 mbar
2022-04-04, 09:45:40	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:45:42	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:45:44	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:45:46	0 Hz	0 W	4,6E0 mbar	4E0 mbar
--------------------------------------------------------------------
КОНЕЦ Отсос II.2
--------------------------------------------------------------------

--------------------------------------------------------------------
Парни решили насос выключить II.2
--------------------------------------------------------------------
2022-04-04, 09:45:48	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:45:50	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:45:52	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:45:54	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:45:56	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:45:58	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:46:00	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:46:02	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:46:04	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:46:06	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:46:08	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:46:10	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:46:12	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:46:14	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:46:16	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:46:18	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:46:20	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:46:22	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:46:24	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:46:26	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:46:28	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:46:30	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:46:32	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:46:34	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:46:36	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:46:38	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:46:40	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:46:42	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:46:44	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:46:46	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:46:48	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:46:50	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:46:52	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:46:54	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:46:56	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:46:58	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:47:00	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:47:02	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:47:04	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:47:06	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:47:08	0 Hz	0 W	4,6E0 mbar	4,1E0 mbar
2022-04-04, 09:47:10	0 Hz	0 W	4,6E0 mbar	4,1E0 mbar
2022-04-04, 09:47:12	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:47:14	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:47:16	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:47:18	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:47:20	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:47:22	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:47:24	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:47:26	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:47:28	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:47:30	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:47:32	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:47:34	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:47:36	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:50:20	0 Hz	0 W	5,4E0 mbar	4,8E0 mbar
2022-04-04, 09:50:22	0 Hz	0 W	5,4E0 mbar	4,8E0 mbar
2022-04-04, 09:50:24	0 Hz	0 W	5,4E0 mbar	4,8E0 mbar
2022-04-04, 09:50:26	0 Hz	0 W	5,3E0 mbar	4,8E0 mbar
2022-04-04, 09:50:28	0 Hz	0 W	5,3E0 mbar	4,8E0 mbar
2022-04-04, 09:50:30	0 Hz	0 W	5,3E0 mbar	4,7E0 mbar
2022-04-04, 09:50:32	0 Hz	0 W	5,3E0 mbar	4,7E0 mbar
2022-04-04, 09:50:34	0 Hz	0 W	5,3E0 mbar	4,7E0 mbar
2022-04-04, 09:50:36	0 Hz	0 W	5,3E0 mbar	4,7E0 mbar
2022-04-04, 09:50:38	0 Hz	0 W	5,2E0 mbar	4,7E0 mbar
2022-04-04, 09:50:40	0 Hz	0 W	5,2E0 mbar	4,6E0 mbar
2022-04-04, 09:50:42	0 Hz	0 W	5,2E0 mbar	4,6E0 mbar
2022-04-04, 09:50:44	0 Hz	0 W	5,2E0 mbar	4,6E0 mbar
2022-04-04, 09:50:46	0 Hz	0 W	5,1E0 mbar	4,6E0 mbar
2022-04-04, 09:50:48	0 Hz	0 W	5,1E0 mbar	4,6E0 mbar
2022-04-04, 09:50:50	0 Hz	0 W	5,1E0 mbar	4,5E0 mbar
2022-04-04, 09:50:52	0 Hz	0 W	5,1E0 mbar	4,5E0 mbar
2022-04-04, 09:50:54	0 Hz	0 W	5,1E0 mbar	4,5E0 mbar
2022-04-04, 09:50:56	0 Hz	0 W	5,1E0 mbar	4,5E0 mbar
2022-04-04, 09:50:58	0 Hz	0 W	5,1E0 mbar	4,5E0 mbar
2022-04-04, 09:51:00	0 Hz	0 W	5E0 mbar	4,5E0 mbar
2022-04-04, 09:51:02	0 Hz	0 W	5E0 mbar	4,4E0 mbar
2022-04-04, 09:51:04	0 Hz	0 W	5E0 mbar	4,4E0 mbar
2022-04-04, 09:51:06	0 Hz	0 W	5E0 mbar	4,4E0 mbar
2022-04-04, 09:51:08	0 Hz	0 W	5E0 mbar	4,4E0 mbar
2022-04-04, 09:51:10	0 Hz	0 W	5E0 mbar	4,4E0 mbar
2022-04-04, 09:51:12	0 Hz	0 W	5E0 mbar	4,4E0 mbar
2022-04-04, 09:51:14	0 Hz	0 W	4,9E0 mbar	4,4E0 mbar
2022-04-04, 09:51:16	0 Hz	0 W	4,9E0 mbar	4,4E0 mbar
2022-04-04, 09:51:18	0 Hz	0 W	4,9E0 mbar	4,4E0 mbar
2022-04-04, 09:51:20	0 Hz	0 W	4,9E0 mbar	4,3E0 mbar
2022-04-04, 09:51:22	0 Hz	0 W	4,9E0 mbar	4,3E0 mbar
2022-04-04, 09:51:24	0 Hz	0 W	4,9E0 mbar	4,3E0 mbar
2022-04-04, 09:51:26	0 Hz	0 W	4,9E0 mbar	4,3E0 mbar
2022-04-04, 09:51:28	0 Hz	0 W	4,9E0 mbar	4,3E0 mbar
2022-04-04, 09:51:30	0 Hz	0 W	4,9E0 mbar	4,3E0 mbar
2022-04-04, 09:51:32	0 Hz	0 W	4,9E0 mbar	4,3E0 mbar
2022-04-04, 09:51:34	0 Hz	0 W	4,9E0 mbar	4,3E0 mbar
2022-04-04, 09:51:36	0 Hz	0 W	4,8E0 mbar	4,3E0 mbar
2022-04-04, 09:51:38	0 Hz	0 W	4,8E0 mbar	4,3E0 mbar
2022-04-04, 09:51:40	0 Hz	0 W	4,8E0 mbar	4,2E0 mbar
2022-04-04, 09:51:42	0 Hz	0 W	4,8E0 mbar	4,2E0 mbar
2022-04-04, 09:51:44	0 Hz	0 W	4,8E0 mbar	4,2E0 mbar
2022-04-04, 09:51:46	0 Hz	0 W	4,8E0 mbar	4,2E0 mbar
2022-04-04, 09:51:48	0 Hz	0 W	4,8E0 mbar	4,2E0 mbar
2022-04-04, 09:51:50	0 Hz	0 W	4,8E0 mbar	4,2E0 mbar
2022-04-04, 09:51:52	0 Hz	0 W	4,8E0 mbar	4,2E0 mbar
2022-04-04, 09:51:54	0 Hz	0 W	4,8E0 mbar	4,2E0 mbar
2022-04-04, 09:51:56	0 Hz	0 W	4,8E0 mbar	4,2E0 mbar
2022-04-04, 09:51:58	0 Hz	0 W	4,8E0 mbar	4,2E0 mbar
2022-04-04, 09:52:00	0 Hz	0 W	4,8E0 mbar	4,2E0 mbar
2022-04-04, 09:52:02	0 Hz	0 W	4,8E0 mbar	4,2E0 mbar
2022-04-04, 09:52:04	0 Hz	0 W	4,8E0 mbar	4,2E0 mbar
2022-04-04, 09:52:06	0 Hz	0 W	4,8E0 mbar	4,2E0 mbar
2022-04-04, 09:52:08	0 Hz	0 W	4,7E0 mbar	4,2E0 mbar
2022-04-04, 09:52:10	0 Hz	0 W	4,7E0 mbar	4,2E0 mbar
2022-04-04, 09:52:12	0 Hz	0 W	4,7E0 mbar	4,2E0 mbar
2022-04-04, 09:52:14	0 Hz	0 W	4,7E0 mbar	4,2E0 mbar
2022-04-04, 09:52:16	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:52:18	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:52:20	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:52:22	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:52:24	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:52:26	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:52:28	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:52:30	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:52:32	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:52:34	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:52:36	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:52:38	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:52:40	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:52:42	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:52:44	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:52:46	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:52:48	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:52:50	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:52:52	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:52:54	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:52:56	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:52:58	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:53:00	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:53:02	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:53:04	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:53:06	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:53:08	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:53:10	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:53:12	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:53:14	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:53:16	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:53:18	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:53:20	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:53:22	0 Hz	0 W	4,7E0 mbar	4,1E0 mbar
2022-04-04, 09:53:24	0 Hz	0 W	4,6E0 mbar	4,1E0 mbar
2022-04-04, 09:53:26	0 Hz	0 W	4,6E0 mbar	4,1E0 mbar
2022-04-04, 09:53:28	0 Hz	0 W	4,6E0 mbar	4,1E0 mbar
2022-04-04, 09:53:30	0 Hz	0 W	4,6E0 mbar	4,1E0 mbar
2022-04-04, 09:53:32	0 Hz	0 W	4,6E0 mbar	4,1E0 mbar
2022-04-04, 09:53:34	0 Hz	0 W	4,6E0 mbar	4,1E0 mbar
2022-04-04, 09:53:36	0 Hz	0 W	4,6E0 mbar	4,1E0 mbar
2022-04-04, 09:53:38	0 Hz	0 W	4,6E0 mbar	4,1E0 mbar
2022-04-04, 09:53:40	0 Hz	0 W	4,6E0 mbar	4,1E0 mbar
2022-04-04, 09:53:42	0 Hz	0 W	4,6E0 mbar	4,1E0 mbar
2022-04-04, 09:53:44	0 Hz	0 W	4,6E0 mbar	4,1E0 mbar
2022-04-04, 09:53:46	0 Hz	0 W	4,6E0 mbar	4,1E0 mbar
2022-04-04, 09:53:48	0 Hz	0 W	4,6E0 mbar	4,1E0 mbar
2022-04-04, 09:53:50	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:53:52	0 Hz	0 W	4,6E0 mbar	4,1E0 mbar
2022-04-04, 09:53:54	0 Hz	0 W	4,6E0 mbar	4,1E0 mbar
2022-04-04, 09:53:56	0 Hz	0 W	4,6E0 mbar	4,1E0 mbar
2022-04-04, 09:53:58	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:54:00	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:54:02	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:54:04	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:54:06	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:54:08	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:54:10	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:54:12	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:54:14	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:54:16	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:54:18	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:54:20	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:54:22	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:54:24	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:54:26	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:54:28	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:54:30	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:54:32	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:54:34	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:54:36	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:54:38	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:54:40	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:54:42	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:54:44	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:54:46	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:54:48	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:54:50	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:54:52	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:54:54	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:54:56	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:54:58	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:55:00	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:55:02	0 Hz	0 W	4,6E0 mbar	4E0 mbar
2022-04-04, 09:55:04	0 Hz	0 W	4,6E0 mbar	4E0 mbar
