time	Freq	W	B2	B1
2022-04-04, 10:28:06	465 Hz	65 W	6,5E-3 mbar	4,8E-3 mbar
2022-04-04, 10:28:08	498 Hz	68 W	2,9E-3 mbar	2E-3 mbar
2022-04-04, 10:28:10	527 Hz	70 W	1,8E-3 mbar	1,3E-3 mbar
2022-04-04, 10:28:12	561 Hz	73 W	1,4E-3 mbar	1E-3 mbar
2022-04-04, 10:28:14	598 Hz	76 W	1,1E-3 mbar	9E-4 mbar
2022-04-04, 10:28:16	627 Hz	78 W	1,8E-4 mbar	8E-4 mbar
2022-04-04, 10:28:18	661 Hz	82 W	1,5E-4 mbar	7E-4 mbar
2022-04-04, 10:28:20	685 Hz	84 W	1,3E-4 mbar	6E-4 mbar
2022-04-04, 10:28:22	722 Hz	87 W	1,1E-4 mbar	5E-4 mbar
2022-04-04, 10:28:24	759 Hz	88 W	9,6E-5 mbar	5E-4 mbar
2022-04-04, 10:28:26	782 Hz	88 W	8,8E-5 mbar	4,5E-4 mbar
2022-04-04, 10:28:28	817 Hz	88 W	8,2E-5 mbar	4E-4 mbar
2022-04-04, 10:28:30	840 Hz	88 W	7,6E-5 mbar	4E-4 mbar
2022-04-04, 10:28:32	870 Hz	88 W	7,2E-5 mbar	3,5E-4 mbar
2022-04-04, 10:28:34	903 Hz	88 W	6,8E-5 mbar	3,5E-4 mbar
2022-04-04, 10:28:36	927 Hz	88 W	6,5E-5 mbar	3,5E-4 mbar
2022-04-04, 10:28:38	955 Hz	88 W	6,3E-5 mbar	3E-4 mbar
2022-04-04, 10:28:40	976 Hz	88 W	6,1E-5 mbar	3E-4 mbar
2022-04-04, 10:28:42	1005 Hz	88 W	5,9E-5 mbar	3E-4 mbar
2022-04-04, 10:28:44	1031 Hz	88 W	5,7E-5 mbar	3E-4 mbar
2022-04-04, 10:28:46	1053 Hz	88 W	5,4E-5 mbar	3E-4 mbar
2022-04-04, 10:28:48	1078 Hz	88 W	5,2E-5 mbar	3E-4 mbar
2022-04-04, 10:28:50	1100 Hz	88 W	5E-5 mbar	3E-4 mbar
2022-04-04, 10:28:52	1124 Hz	88 W	4,8E-5 mbar	3E-4 mbar
2022-04-04, 10:28:54	1148 Hz	87 W	4,6E-5 mbar	3E-4 mbar
2022-04-04, 10:28:56	1168 Hz	88 W	4,4E-5 mbar	3E-4 mbar
2022-04-04, 10:28:58	1194 Hz	88 W	4,2E-5 mbar	3E-4 mbar
2022-04-04, 10:29:00	1211 Hz	87 W	4,1E-5 mbar	2,5E-4 mbar
2022-04-04, 10:29:02	1233 Hz	87 W	4E-5 mbar	2,5E-4 mbar
2022-04-04, 10:29:04	1258 Hz	88 W	3,9E-5 mbar	2,5E-4 mbar
2022-04-04, 10:29:06	1274 Hz	87 W	3,8E-5 mbar	2,5E-4 mbar
2022-04-04, 10:29:08	1298 Hz	87 W	3,7E-5 mbar	2E-4 mbar
2022-04-04, 10:29:10	1319 Hz	88 W	3,7E-5 mbar	2E-4 mbar
2022-04-04, 10:29:12	1335 Hz	88 W	3,6E-5 mbar	2E-4 mbar
2022-04-04, 10:29:14	1355 Hz	88 W	3,6E-5 mbar	2E-4 mbar
2022-04-04, 10:29:16	1375 Hz	88 W	3,5E-5 mbar	2E-4 mbar
2022-04-04, 10:29:18	1395 Hz	88 W	3,4E-5 mbar	2E-4 mbar
2022-04-04, 10:29:20	1412 Hz	87 W	3,4E-5 mbar	2E-4 mbar
2022-04-04, 10:29:22	1431 Hz	88 W	3,4E-5 mbar	2E-4 mbar
2022-04-04, 10:29:24	1450 Hz	88 W	3,3E-5 mbar	2E-4 mbar
2022-04-04, 10:29:26	1466 Hz	87 W	3,2E-5 mbar	2E-4 mbar
2022-04-04, 10:29:28	1482 Hz	56 W	3,2E-5 mbar	2E-4 mbar
2022-04-04, 10:29:30	1491 Hz	55 W	3,1E-5 mbar	2E-4 mbar
2022-04-04, 10:29:32	1502 Hz	35 W	3,1E-5 mbar	2E-4 mbar
2022-04-04, 10:29:34	1502 Hz	2 W	3,1E-5 mbar	2E-4 mbar
2022-04-04, 10:29:36	1499 Hz	8 W	3E-5 mbar	2E-4 mbar
2022-04-04, 10:29:38	1499 Hz	19 W	3E-5 mbar	2E-4 mbar
2022-04-04, 10:29:40	1500 Hz	18 W	2,9E-5 mbar	2E-4 mbar
2022-04-04, 10:29:42	1500 Hz	15 W	2,9E-5 mbar	2E-4 mbar
2022-04-04, 10:29:44	1500 Hz	15 W	2,9E-5 mbar	2E-4 mbar
2022-04-04, 10:29:46	1500 Hz	16 W	2,8E-5 mbar	2E-4 mbar
2022-04-04, 10:29:48	1500 Hz	16 W	2,8E-5 mbar	2E-4 mbar
2022-04-04, 10:29:50	1500 Hz	15 W	2,8E-5 mbar	2E-4 mbar
2022-04-04, 10:29:52	1500 Hz	15 W	2,7E-5 mbar	2E-4 mbar
2022-04-04, 10:29:54	1500 Hz	16 W	2,7E-5 mbar	2E-4 mbar
2022-04-04, 10:29:56	1500 Hz	16 W	2,7E-5 mbar	2E-4 mbar
2022-04-04, 10:29:58	1500 Hz	16 W	2,6E-5 mbar	2E-4 mbar
2022-04-04, 10:30:00	1500 Hz	15 W	2,6E-5 mbar	2E-4 mbar
2022-04-04, 10:30:02	1500 Hz	15 W	2,6E-5 mbar	2E-4 mbar
2022-04-04, 10:30:04	1500 Hz	15 W	2,5E-5 mbar	2E-4 mbar
2022-04-04, 10:30:06	1500 Hz	15 W	2,5E-5 mbar	2E-4 mbar
2022-04-04, 10:30:08	1500 Hz	16 W	2,5E-5 mbar	2E-4 mbar
2022-04-04, 10:30:10	1500 Hz	16 W	2,5E-5 mbar	2E-4 mbar
2022-04-04, 10:30:12	1500 Hz	16 W	2,6E-5 mbar	2E-4 mbar
2022-04-04, 10:30:14	1500 Hz	15 W	2,5E-5 mbar	2E-4 mbar
2022-04-04, 10:30:16	1500 Hz	15 W	2,5E-5 mbar	2E-4 mbar
2022-04-04, 10:30:18	1500 Hz	16 W	2,5E-5 mbar	2E-4 mbar
2022-04-04, 10:30:20	1500 Hz	16 W	2,4E-5 mbar	2E-4 mbar
2022-04-04, 10:30:22	1500 Hz	16 W	2,4E-5 mbar	2E-4 mbar
2022-04-04, 10:30:24	1500 Hz	16 W	2,3E-5 mbar	2E-4 mbar
2022-04-04, 10:30:26	1500 Hz	16 W	2,3E-5 mbar	1,5E-4 mbar
2022-04-04, 10:30:28	1500 Hz	15 W	2,3E-5 mbar	1,5E-4 mbar
2022-04-04, 10:30:30	1500 Hz	15 W	2,2E-5 mbar	2E-4 mbar
2022-04-04, 10:30:32	1500 Hz	16 W	2,2E-5 mbar	1,5E-4 mbar
2022-04-04, 10:30:34	1500 Hz	16 W	2,2E-5 mbar	1,5E-4 mbar
2022-04-04, 10:30:36	1500 Hz	16 W	2,1E-5 mbar	1,5E-4 mbar
2022-04-04, 10:30:38	1500 Hz	15 W	2,1E-5 mbar	1,5E-4 mbar
2022-04-04, 10:30:40	1500 Hz	15 W	2,1E-5 mbar	1,5E-4 mbar
2022-04-04, 10:30:42	1500 Hz	15 W	2E-5 mbar	1,5E-4 mbar
2022-04-04, 10:30:44	1500 Hz	15 W	2E-5 mbar	1,5E-4 mbar
2022-04-04, 10:30:46	1500 Hz	16 W	2E-5 mbar	1,5E-4 mbar
2022-04-04, 10:30:48	1500 Hz	16 W	2E-5 mbar	1,5E-4 mbar
2022-04-04, 10:30:50	1500 Hz	16 W	1,9E-5 mbar	1,5E-4 mbar
2022-04-04, 10:30:52	1500 Hz	15 W	1,9E-5 mbar	2E-4 mbar
2022-04-04, 10:30:54	1500 Hz	15 W	1,9E-5 mbar	1,5E-4 mbar
2022-04-04, 10:30:56	1500 Hz	15 W	1,9E-5 mbar	1,5E-4 mbar
2022-04-04, 10:30:58	1500 Hz	16 W	1,9E-5 mbar	1,5E-4 mbar
2022-04-04, 10:31:00	1500 Hz	16 W	1,9E-5 mbar	2E-4 mbar
2022-04-04, 10:31:02	1500 Hz	16 W	1,9E-5 mbar	2E-4 mbar
2022-04-04, 10:31:04	1500 Hz	15 W	1,8E-5 mbar	2E-4 mbar
2022-04-04, 10:31:06	1500 Hz	15 W	1,8E-5 mbar	2E-4 mbar
2022-04-04, 10:31:08	1500 Hz	15 W	1,8E-5 mbar	2E-4 mbar
2022-04-04, 10:31:10	1500 Hz	16 W	1,8E-5 mbar	1,5E-4 mbar
2022-04-04, 10:31:12	1500 Hz	16 W	1,8E-5 mbar	1,5E-4 mbar
2022-04-04, 10:31:14	1500 Hz	15 W	1,8E-5 mbar	1,5E-4 mbar
2022-04-04, 10:31:16	1500 Hz	15 W	1,8E-5 mbar	1,5E-4 mbar
2022-04-04, 10:31:18	1500 Hz	15 W	1,8E-5 mbar	1,5E-4 mbar
2022-04-04, 10:31:20	1500 Hz	16 W	1,8E-5 mbar	1,5E-4 mbar
2022-04-04, 10:31:22	1500 Hz	15 W	1,7E-5 mbar	1,5E-4 mbar
2022-04-04, 10:31:24	1500 Hz	16 W	1,7E-5 mbar	1,5E-4 mbar
2022-04-04, 10:31:26	1500 Hz	16 W	1,7E-5 mbar	1,5E-4 mbar
2022-04-04, 10:31:28	1500 Hz	15 W	1,7E-5 mbar	1,5E-4 mbar
